username,password,FirstName,LastName,semester,department
rifat,1625872233,noshin,faria,Spring-2019,CSE
sathi,1676621095,faysl,ahmed,Spring-2019,CSE
mamun,1625872233,mamun,hossain,Spring-2019,CSE
dummy,1676621095,dummy,uddin,Spring-2019,CSE
hello,1676621095,bye,ahmed,Spring-2019,CSE
bye,1676621095,hello,ahmed,Spring-2019,CSE
cheese,1676621095,cheese,uddin,Spring-2019,CSE
ewu,1676621095,ewu,haque,Spring-2019,CSE
eee,1676621095,eee,ahmed,Spring-2019,CSE
2019-1-60-205,1676621095,noway,admed,Spring-2019,CSE
2019-1-60-206,1676621095,Nabila,HAQUE,Spring-2019,EEE
